name,slug,characteristics,difficulty,effect,ingredients,inventors,manufacturers,side_effects,time,wiki,image
Strong Invigoration Draught,strong-invigoration-draught,"Characteristics, Fiery orange in colour, [1]","Difficulty level, Advanced, [1]","Effect, Significantly boosts the energy and focus of the drinker, [1]","Known ingredients, Honeywater, [1], Vervain infusion, [1], Scurvy grass, [1], Sneezewort, [1]",,,,"Brewing time, Six hours, [1]",https://harrypotter.fandom.com/wiki/Strong_Invigoration_Draught,https://static.wikia.nocookie.net/harrypotter/images/3/3a/Strong_Invigoration_Draught_WU.png
Stupid Potion,stupid-potion,,,"Effect, Loss of intelligence, (most likely), [1]",,,,,,https://harrypotter.fandom.com/wiki/Stupid_Potion,
Swelling Solution,swelling-solution,"Characteristics, Yellow in colour, [3]","Difficulty level, Beginner, [1], [2], [3]","Effect, Caused enlargement on contact, [1], [2], [3]","Known ingredients, Puffer-fish eyes, [1], [2], Dried, nettles, [2], Bat spleens, [2]",,,,,https://harrypotter.fandom.com/wiki/Swelling_Solution,https://static.wikia.nocookie.net/harrypotter/images/a/ad/Swelling_Solution_PM.png
Ten-Second Pimple Vanisher,ten-second-pimple-vanisher,"Characteristics, Pink in colour, [2]",,"Effect, Treats boils, pimples, blackheads and, acne, [1]",,"Inventor(s), Fred, and, George Weasley, [1]","Manufacturer, Weasleys' Wizard Wheezes, [1]",,,https://harrypotter.fandom.com/wiki/Ten-Second_Pimple_Vanisher,https://static.wikia.nocookie.net/harrypotter/images/2/25/Ten-Second_Pimple_Vanisher.jpg
Golden potion,thick-golden-potion,"Characteristics, Golden, in colour, [1]",,"Effect, Healing, ,, curse, quarantining, [1]",,,,,,https://harrypotter.fandom.com/wiki/Thick_golden_potion,https://static.wikia.nocookie.net/harrypotter/images/a/ad/Thick-golden-potion.webp
Thunderbrew,thunderbrew,"Characteristics, Purple in colour, [1]",,"Effect, Created a storm around the drinker for a short period of time, [1]","Known ingredients, Leech juice, [1], Shrivelfig, [1], Stench of the Dead, [1]",,"Manufacturer, J. Pippin, at, J. Pippin's Potions, (1890s), [1]",,"Brewing time, 1 minute and 30 seconds, [1]",https://harrypotter.fandom.com/wiki/Thunderbrew,https://static.wikia.nocookie.net/harrypotter/images/8/8b/Thunderbrew.png
Tolipan Blemish Blitzer,tolipan-blemish-blitzer,"Characteristics, White in colour, [1], Thick paste consistency, [1]",,"Effect, Treated acne, [1]","Known ingredients, Dragon claw, [1]",,,,,https://harrypotter.fandom.com/wiki/Tolipan_Blemish_Blitzer,https://static.wikia.nocookie.net/harrypotter/images/c/c1/TolipanBlemishBlitzer.png
Tonic for Trace Detection,tonic-for-trace-detection,"Characteristics, Pink in colour, [1]","Difficulty level, Beginner, [1]","Effect, Increased mental perception of Trace, magic, in the world, [1]","Known ingredients, Baneberry, [1], Bulbadox juice, [1], Angel's Trumpet, [1], Erumpent horn, [1]",,,,"Brewing time, Seven hours, [1]",https://harrypotter.fandom.com/wiki/Tonic_for_Trace_Detection,https://static.wikia.nocookie.net/harrypotter/images/b/b4/Tonic_for_Trace_Detection_WU.png
Truth Serum,truth-serum,,,"Effect, Forced the drinker to tell the truth, [1]","Known ingredients, Jobberknoll feathers, [2]",,,,,https://harrypotter.fandom.com/wiki/Truth_Serum,https://static.wikia.nocookie.net/harrypotter/images/d/d9/Veritaserum.jpg
Twilight Moonbeams,twilight-moonbeams,"Characteristics, Red in colour, [1]",,"Effect, Caused the drinker to become infatuated with the giver of the potion, [1]","Known ingredients, Pearl Dust, [2]","Inventor(s), Fred and George Weasley, [1]",,,,https://harrypotter.fandom.com/wiki/Twilight_Moonbeams,https://static.wikia.nocookie.net/harrypotter/images/b/b7/TwilightMoonbeams.jpg
Venomous Tentacula juice,venomous-tentacula-juice,"Physical characteristics, Water, clear, [1], The insides of the one who drank it felt like they were ""burning"", [1], The skin colour of who drank it became purple, [1]",,,,,,,,https://harrypotter.fandom.com/wiki/Venomous_Tentacula_juice,https://static.wikia.nocookie.net/harrypotter/images/c/c2/Venomous_Tentacular_Juice.jpg
Veritaserum,veritaserum,"Characteristics, Clear and odourless like, water, [1], [4]","Difficulty level, Advanced, [4], [3]","Effect, Forced drinker to speak the truth, [1], [2], [3]",,,,,"Brewing time, One, lunar cycle, (about 28 days), [5]",https://harrypotter.fandom.com/wiki/Veritaserum,https://static.wikia.nocookie.net/harrypotter/images/a/a0/Truth_sperum.gif
Vitamix Potion,vitamix-potion,"Characteristics, Blue in colour, [1]","Difficulty level, Beginner, [1]","Effect, Burst of energy, [1]","Known ingredients, Infusion of wormwood, [1], Powdered root of asphodel, [1], Monkshood, [1]",,,"Side-effects, Unfortunate but unknown, [2]",,https://harrypotter.fandom.com/wiki/Vitamix_Potion,https://static.wikia.nocookie.net/harrypotter/images/2/2a/Vitamix_Potion.PNG
Volubilis Potion,volubilis-potion,"Characteristics, Yellow-coloured when finished, [1]","Difficulty level, Beginner, [1]","Effect, Altered the drinker's voice, [1]","Known ingredients, Honeywater, [1], Mint, sprigs, [1], Stewed Mandrake, [1], Syrup of Hellebore, [1]",,,,,https://harrypotter.fandom.com/wiki/Volubilis_Potion,https://static.wikia.nocookie.net/harrypotter/images/e/e5/Volubilis_Potion.jpg
Weakness Potion,weakness-potion,"Characteristics, Yellowish in colour, [1]",,"Effect, Fumes cause weakness, [1]",,,,,,https://harrypotter.fandom.com/wiki/Weakness_Potion,https://static.wikia.nocookie.net/harrypotter/images/1/16/WeaknessPotion.jpg
Weedosoros,weedosoros,"Characteristics, Deep purple in colour, [2], [1]","Difficulty level, Moderate, [1]","Effect, Highly, poisonous, [1]",,,,,,https://harrypotter.fandom.com/wiki/Weedosoros,https://static.wikia.nocookie.net/harrypotter/images/6/6b/Weedosoros.jpg
Wideye Potion,wideye-potion,"Characteristics, Blue/green in colour, [1]","Difficulty level, Beginner, [1], to Moderate, [2]","Effect, Awakened victim, [1], Prevented sleeping, [1]","Known ingredients, 6, snake fangs, [1], 4 measures of, Standard Ingredient, [1], 6 dried, Billywig stings, [1], 2 sprigs of, Wolfsbane, [1]",,,,,https://harrypotter.fandom.com/wiki/Wideye_Potion,https://static.wikia.nocookie.net/harrypotter/images/9/9f/Wideye-or-awakening-potion.png
Wiggenweld Potion,wiggenweld-potion,"Characteristics, Green,, [3], [1], red, [4], [5], pink, [6], or blue, [2], [7], in colour","Difficulty level, Beginner, [1]","Effect, Healed, injuries and replenished stamina, [1], Antidote, to sleeping potions, [1], [2]","Known ingredients, Wiggentree bark, [8], [9], Moly, [8], Dittany, [8], [10], Horklump juice, [4], [5], [11], 2 drops of, Flobberworm Mucus, [4], [3], 7, Chizpurfle fangs, [4], [5], Billywig sting slime, [4], [5], A sprig of, mint, [4], [5], Boom Berry, juice, [4], [5], One, stewed Mandrake, [4], [5], Drops of, Honeywater, [4], [5], Sloth brain, Mucus, [4], [5], [1], Moondew, drops, [4], [5], Salamander blood, [3], [1], 10, Lionfish spines, [3], [1], Unicorn horn, [12], Wolfsbane, [12]",,,,,https://harrypotter.fandom.com/wiki/Wiggenweld_Potion,https://static.wikia.nocookie.net/harrypotter/images/6/64/Wiggenweld_Potion_HM.png
Wit-Sharpening Potion,wit-sharpening-potion,"Characteristics, Green,, [2], white, [3], or purple, [1], [4], [5], in colour","Difficulty level, Moderate, [6], to, Ordinary Wizarding Level, [3]","Effect, Improved intellect, [1]","Known ingredients, Ground, scarab beetles, [6], Cut, ginger, roots, [6], Armadillo bile, [6], Newt spleens, [2]",,,,,https://harrypotter.fandom.com/wiki/Wit-Sharpening_Potion,https://static.wikia.nocookie.net/harrypotter/images/2/21/Wit-Sharpening_Potion_HM_Icon.png
Wolfsbane Potion,wolfsbane-potion,"Characteristics, Blue smoke, [3], [4], Unpleasant taste, [5], Rendered useless with, sugar, [5]","Difficulty level, Advanced, [5], [6]","Effect, Allowed, werewolves, to keep their minds post-transformation, [1]","Known ingredients, 17, wolfsbane, leaves, [4], [7], Juice of 2, Mandrake leaves, [7], 3 drops of, dragon blood, [7], 1 powdered, moonstone, [7], 2 drops of, Syrup of Hellebore, [7], 3, Murtlap tentacles, [7], Juice of 7, Sopophorous Beans, [7], 1, Occamy egg, [7]","Inventor(s), Damocles Belby, [8]",,"Side-effects, Harmful side effects to health if potion tampered with, [2]",,https://harrypotter.fandom.com/wiki/Wolfsbane_Potion,https://static.wikia.nocookie.net/harrypotter/images/0/01/PA_C8.jpg
Wound-Cleaning Potion,wound-cleaning-potion,"Characteristics, Purple liquid, [1], Smoked on contact, [1], Stung on contact, [1], [2]","Difficulty level, Advanced, [2]","Effect, Antiseptic, cleaned wounds, [1], [2]",,,,,,https://harrypotter.fandom.com/wiki/Wound-Cleaning_Potion,https://static.wikia.nocookie.net/harrypotter/images/a/a0/WoundCleaningPotionHM.png
